figure,paper_result,paper_value,our_result,status,remaining_difference,artifact_path
Fig. 5A,DeepONet / ChemKAN noise-free test ratio at 15%,4.4x,3.43x,evaluation completed; partially matched,Same order and same direction: ChemKAN is the more noise-robust of the two.,results/reproduction/tables/biodiesel_fig5a_metrics.csv
Fig. 5B,DeepONet overfits at 7% (clean-test minimum ~epoch 5000),"minimum ~5000, then rises",minimum epoch 4391; clean-test rise 4.2%; post-minimum smoothed training fall 2.0%,evaluation completed; not matched,"Minimum epoch is close, but does not meet OUR overfitting criterion (test rise >10% with a further >5% smoothed training fall; 201-epoch window; minimum before 90% of budget). Those thresholds and the window are our diagnostic choices, not the paper's.",results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 5B,DeepONet overfits strongly at 15% (minimum ~epoch 1000),"minimum ~1000, then strong rise",minimum epoch 3943; clean-test rise 6.0%; post-minimum smoothed training fall 1.9%,evaluation completed; not matched,Minimum ~4x later than reported and does not meet our criterion (same caveat on thresholds).,results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 5B,ChemKAN does not overfit,continued decrease or plateau,"no run meets our overfitting criterion, ChemKAN or DeepONet, at 0/2/7/15%","evaluation completed; consistent, but weakly discriminating","Since no run meets the criterion, ChemKAN's non-overfitting does not distinguish it from DeepONet here. A different threshold or smoothing window could classify runs differently.",results/reproduction/tables/biodiesel_fig5b_overfit_assessment.json
Fig. 6,15%-noise models track the hidden clean trajectory; DeepONet profiles jagged,qualitative,"both 15% models plotted on training case 0 (TG0=1.4554, ROH0=0.5425, T=334.43 K)","evaluation completed; qualitatively similar, not quantitatively matched","The paper does not identify its plotted case, so ours is a documented plotting choice fixed before inspecting predictions; a jaggedness comparison is therefore not like-for-like.",results/reproduction/figures/biodiesel/fig06_biodiesel_15pct_profiles.pdf
Fig. 7,Temperature and species at phi=0.9/T0=1050 K and phi=1.3/T0=1150 K,qualitative,H0 (primary): no ignition at either condition. Hnorm1 (labelled comparison): reproduces the rise,evaluation completed; not matched (H0),"The primary run's Stage-2 solution is non-igniting. Hnorm1 is one initialization, not a seed study.",results/reproduction/figures/hydrogen/fig07_hydrogen_trajectories_H0.png
Fig. 8A,441-condition generalization error map,~1e-4 at the 1000 K training conditions,"all 441 evaluated per condition, 0 integration failures; H0 median 2.658e+00, Hnorm1 median 2.536e-01",evaluation completed; not matched,Our per-condition MSEs are orders of magnitude above the paper's; same absolute-error gap as biodiesel. The 21x21 grid is reconstructed from the reported count and figure spacing.,results/reproduction/chemkan/hydrogen/generalization/random_stage2_10000_seed0_generalization_441.csv
Fig. 8B,Ignition delay across 30 reference-igniting conditions,close agreement,H0 ignites in 0/30; Hnorm1 in 30/30 with median |relative delay error| 28.9%,"evaluation completed; not matched (H0), partially matched (Hnorm1)",Hnorm1 also ignites in 2 conditions where the reference does not. Reference and model share one 601-point grid and one estimator.,results/reproduction/tables/hydrogen_ignition_delay_random_stage2_10000_seed0.csv
Table I,"ChemKAN: 1 network, 344 parameters, 9 species + T",1 / 344 / 9+T,"1 network, 344 measured parameters, 9 species + T",evaluation completed; matched,-,results/reproduction/tables/hydrogen_efficiency.csv
Table I,ChemKAN inference speed-up,2.0x (vs Arrhenius.jl),"H0 0.16x, Hnorm1 0.50x (local PyTorch vs Cantera)",evaluation completed; not matched,"Different reference implementation, hardware and timing scope, so not directly comparable. Both local measurements are slower than Cantera. Cantera could not integrate at the model's own tolerances; recorded per setting.",results/reproduction/tables/hydrogen_inference_benchmark_random_stage2_10000_seed0.json
